dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.299242,2.836542,4.065000,3.000000,0.000000,0.000000,0.182700
0.010000,2.328756,2.841919,4.095000,3.000000,0.000000,0.000000,0.177734
0.010000,2.358297,2.847151,4.125000,3.000000,0.000000,0.000000,0.172895
0.010000,2.387861,2.852242,4.155000,3.000000,0.000000,0.000000,0.168182
0.010000,2.417450,2.857196,4.185000,3.000000,0.000000,0.000000,0.163593
0.010000,2.447060,2.862015,4.215000,3.000000,0.000000,0.000000,0.159125
0.010000,2.476691,2.866704,4.245000,3.000000,0.000000,0.000000,0.154775
0.010000,2.506342,2.871266,4.275000,3.000000,0.000000,0.000000,0.150543
0.010000,2.536012,2.875704,4.305000,3.000000,0.000000,0.000000,0.146425
0.010000,2.565700,2.880021,4.335000,3.000000,0.000000,0.000000,0.142420
0.010000,2.595404,2.884221,4.365000,3.000000,0.000000,0.000000,0.138527
0.010000,2.625125,2.888307,4.395000,3.000000,0.000000,0.000000,0.134742
0.010000,2.654860,2.892282,4.425000,3.000000,0.000000,0.000000,0.131064
0.010000,2.684610,2.896150,4.455000,3.000000,0.000000,0.000000,0.127491
0.010000,2.714373,2.899912,4.485000,3.000000,0.000000,0.000000,0.124022
0.010000,2.744149,2.903573,4.515000,3.000000,0.000000,0.000000,0.120654
0.010000,2.773937,2.907135,4.545000,3.000000,0.000000,0.000000,0.117387
0.010000,2.803736,2.910601,4.575000,3.000000,0.000000,0.000000,0.114219
0.010000,2.833546,2.913974,4.605000,3.000000,0.000000,0.000000,0.111147
0.010000,2.863365,2.917257,4.635000,3.000000,0.000000,0.000000,0.108171
0.010000,2.893195,2.920453,4.665000,3.000000,0.000000,0.000000,0.105289
0.010000,2.923033,2.923564,4.695000,3.000000,0.000000,0.000000,0.102500
0.010000,2.952880,2.926593,4.725000,3.000000,0.000000,0.000000,0.099802
0.010000,2.982734,2.929543,4.755000,3.000000,0.000000,0.000000,0.097194
0.010000,3.012596,2.932416,4.785000,3.000000,0.000000,0.000000,0.094675
0.010000,3.042465,2.935216,4.815000,3.000000,0.000000,0.000000,0.092243
0.010000,3.072341,2.937944,4.845000,3.000000,0.000000,0.000000,0.089898
0.010000,3.102223,2.940603,4.875000,3.000000,0.000000,0.000000,0.087637
0.010000,3.132111,2.943196,4.905000,3.000000,0.000000,0.000000,0.085461
0.010000,3.162004,2.945725,4.935000,3.000000,0.000000,0.000000,0.083369
0.010000,3.191902,2.948193,4.965000,3.000000,0.000000,0.000000,0.081358
0.010000,3.221805,2.950602,4.995000,3.000000,0.000000,0.000000,0.079428
0.010000,3.251713,2.952955,5.025000,3.000000,0.000000,0.000000,0.077579
0.010000,3.281625,2.955253,5.055000,3.000000,0.000000,0.000000,0.075809
0.010000,3.311541,2.957500,5.085000,3.000000,0.000000,0.000000,0.074117
0.010000,3.341460,2.959697,5.115000,3.000000,0.000000,0.000000,0.072503
0.010000,3.371383,2.961847,5.145000,3.000000,0.000000,0.000000,0.070966
0.010000,3.401309,2.963952,5.175000,3.000000,0.000000,0.000000,0.069506
0.010000,3.431238,2.966014,5.205000,3.000000,0.000000,0.000000,0.068120
0.010000,3.461170,2.968037,5.235000,3.000000,0.000000,0.000000,0.066810
0.010000,3.491104,2.970021,5.265000,3.000000,0.000000,0.000000,0.065574
0.010000,3.521041,2.971969,5.295000,3.000000,0.000000,0.000000,0.064412
0.010000,3.550979,2.973884,5.325000,3.000000,0.000000,0.000000,0.063323
0.010000,3.580920,2.975767,5.355000,3.000000,0.000000,0.000000,0.062306
0.010000,3.610863,2.977620,5.385000,3.000000,0.000000,0.000000,0.061362
0.010000,3.640807,2.979447,5.415000,3.000000,0.000000,0.000000,0.060489
0.010000,3.670753,2.981248,5.445000,3.000000,0.000000,0.000000,0.059688
0.010000,3.700700,2.983027,5.475000,3.000000,0.000000,0.000000,0.058958
0.010000,3.730649,2.984784,5.505000,3.000000,0.000000,0.000000,0.058298
0.010000,3.760598,2.986523,5.535000,3.000000,0.000000,0.000000,0.057708
0.010000,3.790549,2.988246,5.565000,3.000000,0.000000,0.000000,0.057189
0.010000,3.820500,2.989953,5.595000,3.000000,0.000000,0.000000,0.056740
0.010000,3.850452,2.991649,5.625000,3.000000,0.000000,0.000000,0.056360
0.010000,3.880405,2.993334,5.655000,3.000000,0.000000,0.000000,0.056049
0.010000,3.910358,2.995011,5.685000,3.000000,0.000000,0.000000,0.055808
0.010000,3.940312,2.996681,5.715000,3.000000,0.000000,0.000000,0.055636
0.010000,3.970265,2.998348,5.745000,3.000000,0.000000,0.000000,0.055533
0.010000,4.000219,3.000012,5.775000,3.000000,0.000000,0.000000,0.055499
0.010000,4.030173,3.001677,5.805000,3.000000,0.000000,0.000000,0.055534
0.010000,4.060126,3.003343,5.835000,3.000000,0.000000,0.000000,0.055638
0.010000,4.090080,3.005014,5.865000,3.000000,0.000000,0.000000,0.055811
0.010000,4.120033,3.006691,5.895000,3.000000,0.000000,0.000000,0.056053
0.010000,4.149986,3.008376,5.925000,3.000000,0.000000,0.000000,0.056365
0.010000,4.179938,3.010072,5.955000,3.000000,0.000000,0.000000,0.056746
0.010000,4.209889,3.011780,5.985000,3.000000,0.000000,0.000000,0.057196
0.010000,4.239840,3.013502,6.015000,3.000000,0.000000,0.000000,0.057717
0.010000,4.269789,3.015241,6.045000,3.000000,0.000000,0.000000,0.058307
0.010000,4.299738,3.016999,6.075000,3.000000,0.000000,0.000000,0.058968
0.010000,4.329685,3.018778,6.105000,3.000000,0.000000,0.000000,0.059699
